Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
RD Gaikwad,Not Available,Not Available,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk, Chennai > Dubai International Cricket Stadium > Wankhede Stadium, Mumbai > Maharashtra Cricket Association Stadium, Pune",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"RD Gaikwad is a Top Order Aggressor. Strongest at MA Chidambaram Stadium, Chepauk, Chennai. Beware of Arshdeep Singh who owns this matchup.",Arshdeep Singh,Not Available,132.6,171.0,0.0,0.0,0,0
SK Raina,Not Available,Not Available,All-Rounder,Middle Order Anchor,"MA Chidambaram Stadium, Chepauk > Wankhede Stadium > Eden Gardens > Saurashtra Cricket Association Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, RR Pant completely owns this bowler. Emulate that aggressive footprint.","SK Raina is a Middle Order Anchor. Strongest at MA Chidambaram Stadium, Chepauk. Beware of Harbhajan Singh who owns this matchup. Keep away from RR Pant who hits them at will.",Harbhajan Singh,RR Pant,132.5,165.3,7.21,8.31,25,930
VR Iyer,Not Available,Not Available,Batsman,Middle Order Anchor,"Eden Gardens, Kolkata > Wankhede Stadium, Mumbai > Sharjah Cricket Stadium > Dubai International Cricket Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, RR Pant completely owns this bowler. Emulate that aggressive footprint.","VR Iyer is a Middle Order Anchor. Strongest at Eden Gardens, Kolkata. Beware of M Jansen who owns this matchup.",M Jansen,RR Pant,132.5,150.4,10.21,9.43,3,84
F du Plessis,Not Available,Not Available,Batsman,Top Order Aggressor,"M Chinnaswamy Stadium, Bengaluru > Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk > Dubai International Cricket Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,"F du Plessis is a Top Order Aggressor. Strongest at M Chinnaswamy Stadium, Bengaluru. Beware of TA Boult who owns this matchup.",TA Boult,Not Available,132.4,170.6,16.0,16.0,0,6
DR Smith,Not Available,Not Available,All-Rounder,Top Order Aggressor,Wankhede Stadium > Feroz Shah Kotla > Eden Gardens > M Chinnaswamy Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, SK Raina completely owns this bowler. Emulate that aggressive footprint.",DR Smith is a Top Order Aggressor. Strongest at Wankhede Stadium. Beware of Harbhajan Singh who owns this matchup. Keep away from SK Raina who hits them at will.,Harbhajan Singh,SK Raina,132.3,147.4,8.73,12.4,26,557
C de Grandhomme,Not Available,Not Available,All-Rounder,Death Over Finisher,Eden Gardens > M.Chinnaswamy Stadium > Rajiv Gandhi International Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, SS Iyer completely owns this bowler. Emulate that aggressive footprint.",C de Grandhomme is a Death Over Finisher. Strongest at Eden Gardens. Beware of S Kaul who owns this matchup. Keep away from SS Iyer who hits them at will.,S Kaul,SS Iyer,132.3,136.8,8.32,12.43,6,230
Arshad Khan,Not Available,Not Available,Bowler,Death Over Finisher,"Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi > Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, Abishek Porel completely owns this bowler. Emulate that aggressive footprint.","Arshad Khan is a Death Over Finisher. Strongest at Narendra Modi Stadium, Ahmedabad. Keep away from Abishek Porel who hits them at will.",Kuldeep Yadav,Abishek Porel,132.2,135.6,10.04,12.42,17,336
BJ Rohrer,Not Available,Not Available,Batsman,Middle Order Anchor,Sawai Mansingh Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,BJ Rohrer is a Middle Order Anchor. Strongest at Sawai Mansingh Stadium.,Not Available,Not Available,132.2,219.4,10.29,0.0,0,7
KP Pietersen,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Feroz Shah Kotla > Punjab Cricket Association Stadium, Mohali > Sawai Mansingh Stadium > Newlands",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, KC Sangakkara completely owns this bowler. Emulate that aggressive footprint.",KP Pietersen is a Middle Order Anchor. Strongest at Feroz Shah Kotla. Beware of Harbhajan Singh who owns this matchup. Keep away from KC Sangakkara who hits them at will.,Harbhajan Singh,KC Sangakkara,132.1,175.7,7.17,9.75,7,180
ML Hayden,Not Available,Not Available,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk > Kingsmead > St George's Park > Feroz Shah Kotla",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"ML Hayden is a Top Order Aggressor. Strongest at MA Chidambaram Stadium, Chepauk. Beware of A Kumble who owns this matchup.",A Kumble,Not Available,131.9,181.1,0.0,0.0,0,0
AC Blizzard,Not Available,Not Available,Batsman,Top Order Aggressor,Wankhede Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,AC Blizzard is a Top Order Aggressor. Strongest at Wankhede Stadium. Beware of M Morkel who owns this matchup.,M Morkel,Not Available,131.9,0.0,0.0,0.0,0,0
Q de Kock,Not Available,Not Available,Batsman,Top Order Aggressor,"Wankhede Stadium > Dubai International Cricket Stadium > Dr DY Patil Sports Academy, Mumbai > Sheikh Zayed Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Q de Kock is a Top Order Aggressor. Strongest at Wankhede Stadium. Beware of YS Chahal who owns this matchup.,YS Chahal,Not Available,131.6,195.1,0.0,0.0,0,0
KD Karthik,Not Available,Not Available,Batsman,Middle Order Anchor,"Eden Gardens > Feroz Shah Kotla > Wankhede Stadium > Wankhede Stadium, Mumbai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,KD Karthik is a Middle Order Anchor. Strongest at Eden Gardens. Beware of CH Morris who owns this matchup.,CH Morris,Not Available,131.4,165.4,0.0,0.0,0,0
A Badoni,Not Available,Not Available,Batsman,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Wankhede Stadium, Mumbai > Eden Gardens, Kolkata > Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"A Badoni is a Middle Order Anchor. Strongest at Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow. Beware of TA Boult who owns this matchup.",TA Boult,Not Available,131.2,153.7,9.22,7.12,4,41
E Lewis,Not Available,Not Available,Batsman,Top Order Aggressor,"Wankhede Stadium > Dubai International Cricket Stadium > Brabourne Stadium, Mumbai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,E Lewis is a Top Order Aggressor. Strongest at Wankhede Stadium. Beware of DJ Bravo who owns this matchup.,DJ Bravo,Not Available,131.1,133.3,0.0,0.0,0,0
Harbhajan Singh,Not Available,Not Available,All-Rounder,Death Over Finisher,Wankhede Stadium > Eden Gardens > MA Chidambaram Stadium > Feroz Shah Kotla,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, GJ Maxwell completely owns this bowler. Emulate that aggressive footprint.",Harbhajan Singh is a Death Over Finisher. Strongest at Wankhede Stadium. Beware of DJ Bravo who owns this matchup. Keep away from GJ Maxwell who hits them at will.,DJ Bravo,GJ Maxwell,131.0,143.8,6.92,8.04,150,3496
SM Curran,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > Punjab Cricket Association IS Bindra Stadium > Wankhede Stadium, Mumbai > Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, PJ Cummins completely owns this bowler. Emulate that aggressive footprint.","SM Curran is a Middle Order Anchor. Strongest at Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur. Beware of JJ Bumrah who owns this matchup. Keep away from PJ Cummins who hits them at will.",JJ Bumrah,PJ Cummins,131.0,170.8,9.33,10.73,59,1308
SS Iyer,Not Available,Not Available,Batsman,Middle Order Anchor,"Arun Jaitley Stadium > Feroz Shah Kotla > Dubai International Cricket Stadium > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Play out his deliveries on merit and wait for loose balls. ,SS Iyer is a Middle Order Anchor. Strongest at Arun Jaitley Stadium. Beware of AD Russell who owns this matchup.,AD Russell,Not Available,130.9,174.3,7.0,7.0,0,6
A Mithun,Not Available,Not Available,Bowler,Death Over Finisher,Feroz Shah Kotla > M Chinnaswamy Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, MS Dhoni completely owns this bowler. Emulate that aggressive footprint.",A Mithun is a Death Over Finisher. Strongest at Feroz Shah Kotla. Keep away from MS Dhoni who hits them at will.,Not Available,MS Dhoni,130.8,135.7,9.08,10.87,7,312
V Kohli,Not Available,Not Available,All-Rounder,Middle Order Anchor,"M Chinnaswamy Stadium > M Chinnaswamy Stadium, Bengaluru > M.Chinnaswamy Stadium > Wankhede Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, MS Bisla completely owns this bowler. Emulate that aggressive footprint.",V Kohli is a Middle Order Anchor. Strongest at M Chinnaswamy Stadium. Beware of Sandeep Sharma who owns this matchup. Keep away from MS Bisla who hits them at will.,Sandeep Sharma,MS Bisla,130.4,179.0,8.36,12.44,4,264
MS Gony,Not Available,Not Available,Bowler,Death Over Finisher,"MA Chidambaram Stadium, Chepauk > Punjab Cricket Association Stadium, Mohali > Rajiv Gandhi International Stadium, Uppal > M Chinnaswamy Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, CH Gayle completely owns this bowler. Emulate that aggressive footprint.","MS Gony is a Death Over Finisher. Strongest at MA Chidambaram Stadium, Chepauk. Keep away from CH Gayle who hits them at will.",Not Available,CH Gayle,130.3,149.2,8.35,10.06,37,925
BA Stokes,Not Available,Not Available,All-Rounder,Middle Order Anchor,Sawai Mansingh Stadium > Sheikh Zayed Stadium > Maharashtra Cricket Association Stadium > Eden Gardens,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, MK Pandey completely owns this bowler. Emulate that aggressive footprint.",BA Stokes is a Middle Order Anchor. Strongest at Sawai Mansingh Stadium. Beware of Rashid Khan who owns this matchup. Keep away from MK Pandey who hits them at will.,Rashid Khan,MK Pandey,130.2,156.8,8.23,9.03,28,723
NLTC Perera,Not Available,Not Available,All-Rounder,Death Over Finisher,"Rajiv Gandhi International Stadium, Uppal > Maharashtra Cricket Association Stadium > Feroz Shah Kotla > M Chinnaswamy Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, KA Pollard completely owns this bowler. Emulate that aggressive footprint.","NLTC Perera is a Death Over Finisher. Strongest at Rajiv Gandhi International Stadium, Uppal. Beware of PP Chawla who owns this matchup. Keep away from KA Pollard who hits them at will.",PP Chawla,KA Pollard,130.1,141.3,8.53,10.97,31,715
SE Marsh,Not Available,Not Available,Batsman,Middle Order Anchor,"Punjab Cricket Association Stadium, Mohali > Himachal Pradesh Cricket Association Stadium > Wankhede Stadium > Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"SE Marsh is a Middle Order Anchor. Strongest at Punjab Cricket Association Stadium, Mohali. Beware of B Kumar who owns this matchup.",B Kumar,Not Available,130.1,151.4,0.0,0.0,0,0
JP Faulkner,Not Available,Not Available,All-Rounder,Death Over Finisher,Sawai Mansingh Stadium > Feroz Shah Kotla > Saurashtra Cricket Association Stadium > Brabourne Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, GJ Bailey completely owns this bowler. Emulate that aggressive footprint.",JP Faulkner is a Death Over Finisher. Strongest at Sawai Mansingh Stadium. Beware of JJ Bumrah who owns this matchup. Keep away from GJ Bailey who hits them at will.,JJ Bumrah,GJ Bailey,129.8,149.3,8.39,9.47,61,1287
R Tewatia,Not Available,Not Available,All-Rounder,Death Over Finisher,"Sharjah Cricket Stadium > Dubai International Cricket Stadium > Narendra Modi Stadium, Ahmedabad > Wankhede Stadium, Mumbai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, Ishan Kishan completely owns this bowler. Emulate that aggressive footprint.",R Tewatia is a Death Over Finisher. Strongest at Sharjah Cricket Stadium. Beware of K Rabada who owns this matchup. Keep away from Ishan Kishan who hits them at will.,K Rabada,Ishan Kishan,129.6,154.3,7.7,7.17,32,866
JD Ryder,Not Available,Not Available,All-Rounder,Top Order Aggressor,Dr DY Patil Sports Academy > Subrata Roy Sahara Stadium > Feroz Shah Kotla > M Chinnaswamy Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, DJ Hussey completely owns this bowler. Emulate that aggressive footprint.",JD Ryder is a Top Order Aggressor. Strongest at Dr DY Patil Sports Academy. Beware of IK Pathan who owns this matchup. Keep away from DJ Hussey who hits them at will.,IK Pathan,DJ Hussey,129.6,160.7,7.54,12.69,8,241
Himmat Singh,Not Available,Not Available,New Addition,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Himmat Singh is a Middle Order Anchor. Strongest at most grounds.,Not Available,Not Available,129.6,181.8,0.0,0.0,0,0
AU Rashid,Not Available,Not Available,New Addition,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, SV Samson completely owns this bowler. Emulate that aggressive footprint.","AU Rashid is a Middle Order Anchor. Strongest at Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow.",Not Available,SV Samson,129.4,133.3,9.1,10.0,2,60
PN Mankad,Not Available,Not Available,Batsman,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"PN Mankad is a Top Order Aggressor. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of T Natarajan who owns this matchup.",T Natarajan,Not Available,129.3,163.6,0.0,0.0,0,0
RG Sharma,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Wankhede Stadium > Wankhede Stadium, Mumbai > Eden Gardens > Rajiv Gandhi International Stadium, Uppal",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, KC Sangakkara completely owns this bowler. Emulate that aggressive footprint.",RG Sharma is a Middle Order Anchor. Strongest at Wankhede Stadium. Beware of SP Narine who owns this matchup. Keep away from KC Sangakkara who hits them at will.,SP Narine,KC Sangakkara,129.2,174.3,7.79,8.52,15,349
MA Agarwal,Not Available,Not Available,Batsman,Top Order Aggressor,Dubai International Cricket Stadium > Punjab Cricket Association IS Bindra Stadium > M Chinnaswamy Stadium > Sharjah Cricket Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,MA Agarwal is a Top Order Aggressor. Strongest at Dubai International Cricket Stadium. Beware of YS Chahal who owns this matchup.,YS Chahal,Not Available,128.8,203.2,0.0,0.0,0,0
KK Nair,Not Available,Not Available,Batsman,Middle Order Anchor,"Feroz Shah Kotla > Sardar Patel Stadium, Motera > Punjab Cricket Association IS Bindra Stadium > M Chinnaswamy Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,KK Nair is a Middle Order Anchor. Strongest at Feroz Shah Kotla. Beware of Harbhajan Singh who owns this matchup.,Harbhajan Singh,Not Available,128.8,171.9,0.0,0.0,0,0
Azmatullah Omarzai,Not Available,Not Available,Bowler,Middle Order Anchor,"Narendra Modi Stadium, Ahmedabad > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, JM Bairstow completely owns this bowler. Emulate that aggressive footprint.","Azmatullah Omarzai is a Middle Order Anchor. Strongest at Narendra Modi Stadium, Ahmedabad. Keep away from JM Bairstow who hits them at will.",Not Available,JM Bairstow,128.6,145.0,9.3,11.88,12,300
SN Thakur,Not Available,Not Available,All-Rounder,Death Over Finisher,"Wankhede Stadium, Mumbai > Dubai International Cricket Stadium > Maharashtra Cricket Association Stadium > Eden Gardens, Kolkata",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, C Green completely owns this bowler. Emulate that aggressive footprint.","SN Thakur is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Beware of HV Patel who owns this matchup. Keep away from C Green who hits them at will.",HV Patel,C Green,128.4,133.5,8.95,9.8,114,2303
Rahmanullah Gurbaz,Not Available,Not Available,Batsman,Top Order Aggressor,"Eden Gardens, Kolkata",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Rahmanullah Gurbaz is a Top Order Aggressor. Strongest at Eden Gardens, Kolkata. Beware of Mohammed Siraj who owns this matchup.",Mohammed Siraj,Not Available,128.3,0.0,0.0,0.0,0,0
DJ Mitchell,Not Available,Not Available,Batsman,Middle Order Anchor,"MA Chidambaram Stadium, Chepauk, Chennai > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, Shubman Gill completely owns this bowler. Emulate that aggressive footprint.","DJ Mitchell is a Middle Order Anchor. Strongest at MA Chidambaram Stadium, Chepauk, Chennai. Beware of K Kartikeya who owns this matchup.",K Kartikeya,Shubman Gill,128.1,115.0,11.41,0.0,1,51
AR Patel,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Arun Jaitley Stadium, Delhi > Dubai International Cricket Stadium > Punjab Cricket Association Stadium, Mohali > M Chinnaswamy Stadium",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, Priyansh Arya completely owns this bowler. Emulate that aggressive footprint.","AR Patel is a Middle Order Anchor. Strongest at Arun Jaitley Stadium, Delhi. Beware of SP Narine who owns this matchup. Keep away from Priyansh Arya who hits them at will.",SP Narine,Priyansh Arya,128.0,145.8,7.31,8.4,136,3542
PHKD Mendis,Not Available,Not Available,Batsman,Middle Order Anchor,"MA Chidambaram Stadium, Chepauk, Chennai > Eden Gardens, Kolkata",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Play out his deliveries on merit and wait for loose balls. ,"PHKD Mendis is a Middle Order Anchor. Strongest at MA Chidambaram Stadium, Chepauk, Chennai.",Not Available,Not Available,127.8,100.0,8.57,0.0,2,42
PD Collingwood,Not Available,Not Available,Batsman,Middle Order Anchor,Feroz Shah Kotla,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Elite threat. Treat with immense respect. Focus on rotating the strike and do not take unnecessary aerial risks. Historically, SS Tiwary completely owns this bowler. Emulate that aggressive footprint.",PD Collingwood is a Middle Order Anchor. Strongest at Feroz Shah Kotla. Beware of R Sharma who owns this matchup.,R Sharma,SS Tiwary,127.7,180.0,6.73,5.48,5,90
S Narwal,Not Available,Not Available,New Addition,Death Over Finisher,"Feroz Shah Kotla > Sardar Patel Stadium, Motera",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, M Vijay completely owns this bowler. Emulate that aggressive footprint.",S Narwal is a Death Over Finisher. Strongest at Feroz Shah Kotla.,Not Available,M Vijay,127.6,131.6,10.73,19.67,5,113
KH Pandya,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Wankhede Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, MM Ali completely owns this bowler. Emulate that aggressive footprint.",KH Pandya is a Middle Order Anchor. Strongest at Wankhede Stadium. Beware of GJ Maxwell who owns this matchup. Keep away from MM Ali who hits them at will.,GJ Maxwell,MM Ali,127.4,149.1,7.35,8.26,102,2632
Sikandar Raza,Not Available,Not Available,Batsman,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Unknown,Not Available,0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Sikandar Raza is a Middle Order Anchor. Strongest at Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow. Beware of K Gowtham who owns this matchup.",K Gowtham,Not Available,127.3,123.7,9.61,0.0,3,88
TR Birt,Not Available,Not Available,Batsman,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,TR Birt is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,127.1,162.2,0.0,0.0,0,0
