Team,Player_Name,Role,Country,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
Gujarat Titans,Ashok Sharma,Bowler,India,Middle Order Anchor,"Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, C Green completely owns this bowler. Emulate that aggressive footprint.","Ashok Sharma is a Middle Order Anchor. Strongest at Narendra Modi Stadium, Ahmedabad. Keep away from C Green who hits them at will.",Not Available,C Green,20.0,0.0,10.06,10.53,6.0,136.0
Gujarat Titans,Jason Holder,All-Rounder,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Tom Banton,Wicketkeeper,England,Top Order Aggressor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Tom Banton, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Tom Banton to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Tom Banton is a designated Wicketkeeper. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,148.0,163.0,0.0,0.0,0.0,0.0
Gujarat Titans,Luke Wood,Bowler,England,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Prithvi Raj Yarra,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Glenn Phillips,Batsman,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Rinku Singh,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Angkrish Raghuvanshi,Batsman,India,Top Order Aggressor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Angkrish Raghuvanshi, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Angkrish Raghuvanshi to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Angkrish Raghuvanshi is a designated Batsman. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,145.8,160.8,0.0,0.0,0.0,0.0
Kolkata Knight Riders,Ajinkya Rahane,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Manish Pandey,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Rovman Powell,Batsman,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Sunil Narine,All-Rounder,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Ramandeep Singh,All-Rounder,India,Death Over Finisher,Neutral Venues,Cover / Boundary,Not Available,0.0,Bowl heavy bouncers at the body to cramp Ramandeep Singh for room.,Keep the ball turning away from Ramandeep Singh's hitting arc.,Exploit Ramandeep Singh's lack of raw pace. Look for the straight drive or slog sweep.,Ramandeep Singh provides critical balance. Attack their bowling to put them under pressure before they bat.,Not Available,Not Available,162.5,177.5,8.9,10.4,15.0,320.0
Kolkata Knight Riders,Anukul Roy,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Varun Chakravarthy,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Harshit Rana,Bowler,India,Lower Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Target the stumps with raw pace. Look for quick dismissals.,Bowl flat and straight. Do not offer flight.,Respect Harshit Rana's stock delivery. Wait for the loose ball or missed yorker at the death.,Harshit Rana is a frontline Bowler. See off their best spells and attack the weaker backup bowlers.,Not Available,Not Available,110.0,125.0,8.4,9.9,30.0,600.0
Kolkata Knight Riders,Vaibhav Arora,Bowler,India,Lower Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Target the stumps with raw pace. Look for quick dismissals.,Bowl flat and straight. Do not offer flight.,Respect Vaibhav Arora's stock delivery. Wait for the loose ball or missed yorker at the death.,Vaibhav Arora is a frontline Bowler. See off their best spells and attack the weaker backup bowlers.,Not Available,Not Available,85.0,100.0,8.8,10.3,25.0,450.0
Kolkata Knight Riders,Umran Malik,Bowler,India,Death Over Finisher,"Wankhede Stadium, Mumbai > Maharashtra Cricket Association Stadium, Pune > Dr DY Patil Sports Academy, Mumbai > Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,"Play out his deliveries on merit and wait for loose balls. Historically, LS Livingstone completely owns this bowler. Emulate that aggressive footprint.","Umran Malik is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Keep away from LS Livingstone who hits them at will.",Not Available,LS Livingstone,143.8,143.8,8.92,10.08,29.0,519.0
Kolkata Knight Riders,Cameron Green,All-Rounder,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Finn Allen,Wicketkeeper,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Matheesha Pathirana,Bowler,Sri Lanka,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Tejasvi Singh,Wicketkeeper,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Kartik Tyagi,Bowler,India,Death Over Finisher,"Dubai International Cricket Stadium > Eden Gardens, Kolkata > Sheikh Zayed Stadium",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, HH Pandya completely owns this bowler. Emulate that aggressive footprint.",Kartik Tyagi is a Death Over Finisher. Strongest at Dubai International Cricket Stadium. Keep away from HH Pandya who hits them at will.,Not Available,HH Pandya,96.0,87.0,9.3,9.75,24.0,628.0
Kolkata Knight Riders,Prashant Solanki,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Rahul Tripathi,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Tim Seifert,Wicketkeeper,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Sarthak Ranjan,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Daksh Kamra,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Rachin Ravindra,All-Rounder,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Kolkata Knight Riders,Akash Deep,Bowler,India,Lower Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Target the stumps with raw pace. Look for quick dismissals.,Bowl flat and straight. Do not offer flight.,Respect Akash Deep's stock delivery. Wait for the loose ball or missed yorker at the death.,Akash Deep is a frontline Bowler. See off their best spells and attack the weaker backup bowlers.,Not Available,Not Available,95.0,110.0,8.7,10.2,40.0,800.0
Kolkata Knight Riders,Chetan Sakariya,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Rishabh Pant,Wicketkeeper,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Aiden Markram,Batsman,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Himmat Singh,Batsman,India,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Himmat Singh is a Middle Order Anchor. Strongest at most grounds.,Not Available,Not Available,129.6,181.8,0.0,0.0,0.0,0.0
Lucknow Super Giants,Matthew Breetzke,Batsman,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Mukul Choudhary,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Akshat Raghuwanshi,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Josh Inglis,Wicketkeeper,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Nicholas Pooran,Wicketkeeper,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Mitchell Marsh,All-Rounder,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Abdul Samad,Batsman,India,Death Over Finisher,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Dubai International Cricket Stadium > Sheikh Zayed Stadium",Unknown,Long On,2.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, MS Dhoni completely owns this bowler. Emulate that aggressive footprint.","Abdul Samad is a Death Over Finisher. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of YS Chahal who owns this matchup.",YS Chahal,MS Dhoni,142.5,162.8,12.93,19.2,2.0,58.0
Lucknow Super Giants,Shahbaz Ahamad,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Arshin Kulkarni,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Wanindu Hasaranga,All-Rounder,Sri Lanka,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Ayush Badoni,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Mohammad Shami,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Avesh Khan,Bowler,India,Death Over Finisher,"Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai > Narendra Modi Stadium, Ahmedabad > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, Ashutosh Sharma completely owns this bowler. Emulate that aggressive footprint.","Avesh Khan is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Keep away from Ashutosh Sharma who hits them at will.",Not Available,Ashutosh Sharma,147.8,133.3,8.84,9.23,93.0,1788.0
Lucknow Super Giants,M. Siddharth,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Digvesh Singh,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Akash Singh,Bowler,India,Middle Order,"MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, YBK Jaiswal completely owns this bowler. Emulate that aggressive footprint.","Akash Singh is a Middle Order. Strongest at MA Chidambaram Stadium, Chepauk, Chennai. Keep away from YBK Jaiswal who hits them at will.",Not Available,YBK Jaiswal,0.0,0.0,9.4,13.5,9.0,208.0
Lucknow Super Giants,Prince Yadav,Bowler,India,Death Over Finisher,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Rajiv Gandhi International Stadium, Uppal, Hyderabad > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, P Simran Singh completely owns this bowler. Emulate that aggressive footprint.","Prince Yadav is a Death Over Finisher. Strongest at Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow. Keep away from P Simran Singh who hits them at will.",Not Available,P Simran Singh,41.7,41.7,8.39,10.58,16.0,337.0
Lucknow Super Giants,Arjun Tendulkar,All-Rounder,India,Middle Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Bowl heavy bouncers at the body to cramp Arjun Tendulkar for room.,Keep the ball turning away from Arjun Tendulkar's hitting arc.,Exploit Arjun Tendulkar's lack of raw pace. Look for the straight drive or slog sweep.,Arjun Tendulkar provides critical balance. Attack their bowling to put them under pressure before they bat.,Not Available,Not Available,115.0,130.0,9.2,10.7,5.0,120.0
Lucknow Super Giants,Anrich Nortje,Bowler,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Naman Tiwari,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Mayank Yadav,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Lucknow Super Giants,Mohsin Khan,Bowler,India,Death Over Finisher,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Wankhede Stadium, Mumbai > Maharashtra Cricket Association Stadium, Pune > Dr DY Patil Sports Academy, Mumbai",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, TH David completely owns this bowler. Emulate that aggressive footprint.","Mohsin Khan is a Death Over Finisher. Strongest at Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow. Keep away from TH David who hits them at will.",Not Available,TH David,80.6,85.7,7.84,9.48,36.0,605.0
Mumbai Indians,Hardik Pandya,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Jasprit Bumrah,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Mitchell Santner,All-Rounder,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Rohit Sharma,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Ryan Rickelton,Wicketkeeper,South Africa,Top Order Aggressor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Ryan Rickelton, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Ryan Rickelton to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Ryan Rickelton is a designated Wicketkeeper. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,141.5,156.5,0.0,0.0,0.0,0.0
Mumbai Indians,Suryakumar Yadav,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Tilak Varma,Batsman,India,Middle Order Anchor,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi > Dr DY Patil Sports Academy, Mumbai",Unknown,Short Mid-Wicket,1.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,"Tilak Varma is a Middle Order Anchor. Strongest at Wankhede Stadium, Mumbai. Beware of Mukesh Kumar who owns this matchup.",Mukesh Kumar,Not Available,140.0,181.0,7.3,12.0,0.0,23.0
Mumbai Indians,Trent Boult,Bowler,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Will Jacks,All-Rounder,England,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Shardul Thakur,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Sherfane Rutherford,All-Rounder,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Mayank Markande,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,AM Ghazanfar,Bowler,Afghanistan,Middle Order,"Wankhede Stadium, Mumbai",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"AM Ghazanfar is a Middle Order. Strongest at Wankhede Stadium, Mumbai.",Not Available,Not Available,0.0,0.0,9.19,10.0,10.0,128.0
Mumbai Indians,Ashwani Kumar,Bowler,India,Death Over Finisher,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, SS Iyer completely owns this bowler. Emulate that aggressive footprint.","Ashwani Kumar is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Keep away from SS Iyer who hits them at will.",Not Available,SS Iyer,16.7,16.7,10.22,12.94,17.0,196.0
Mumbai Indians,Corbin Bosch,All-Rounder,South Africa,Middle Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Bowl heavy bouncers at the body to cramp Corbin Bosch for room.,Keep the ball turning away from Corbin Bosch's hitting arc.,Exploit Corbin Bosch's lack of raw pace. Look for the straight drive or slog sweep.,Corbin Bosch provides critical balance. Attack their bowling to put them under pressure before they bat.,Not Available,Not Available,135.0,150.0,8.3,9.8,50.0,900.0
Mumbai Indians,Deepak Chahar,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Mumbai Indians,Naman Dhir,All-Rounder,India,Death Over Finisher,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi",Unknown,Deep Square Leg,1.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Play out his deliveries on merit and wait for loose balls. ,"Naman Dhir is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Beware of M Prasidh Krishna who owns this matchup.",M Prasidh Krishna,Not Available,163.2,185.8,8.6,4.0,0.0,53.0
Mumbai Indians,Raghu Sharma,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
