Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled,Team
JM Bairstow,Jonny Bairstow,England,Batsman,Top Order Aggressor,"Rajiv Gandhi International Stadium > MA Chidambaram Stadium, Chepauk, Chennai > Dubai International Cricket Stadium > Eden Gardens, Kolkata",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,YS Chahal,Not Available,141.7,131.6,0.0,0.0,0,0,Punjab Kings
Abishek Porel,Abhishek Porel,India,Batsman,Middle Order Anchor,"Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Abishek Porel is a Middle Order Anchor. Strongest at Arun Jaitley Stadium, Delhi. Beware of YS Chahal who owns this matchup.",YS Chahal,Not Available,141.6,167.6,0.0,0.0,0,0,Delhi Capitals
MP Stoinis,Marcus Stoinis,Australia,All-Rounder,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Dubai International Cricket Stadium > Sheikh Zayed Stadium > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,JJ Bumrah,RA Tripathi,141.5,172.4,9.46,12.42,44,937,Punjab Kings
RR Pant,Rishabh Pant,India,Batsman,Middle Order Anchor,"Arun Jaitley Stadium > Dubai International Cricket Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Feroz Shah Kotla",Unknown,Not Available,0,Loses balance when reaching for extreme wide deliveries from over the wicket.,Struggles to generate power against mystery spin turning away on slow pitches.,Not a regular bowler.,Highly unorthodox. Pack the off-side and strictly target the wide guideline.,JJ Bumrah,Not Available,141.4,190.6,0.0,0.0,0,0,Lucknow Super Giants
SO Hetmyer,Shimron Hetmyer,West Indies,Batsman,Death Over Finisher,"Narendra Modi Stadium, Ahmedabad > Wankhede Stadium, Mumbai > Dubai International Cricket Stadium > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,JJ Bumrah,Not Available,141.4,159.6,0.0,0.0,0,0,Rajasthan Royals
D Wiese,David Wiese,Namibia,All-Rounder,Death Over Finisher,"M Chinnaswamy Stadium > MA Chidambaram Stadium, Chepauk",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,DJ Bravo,Q de Kock,141.0,156.2,8.6,9.69,16,307,Kolkata Knight Riders
HH Pandya,Hardik Pandya,India,All-Rounder,Middle Order Anchor,"Wankhede Stadium > Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Eden Gardens",Unknown,Not Available,0,Struggles with back-of-length deliveries cramping his room. Bowl into the pitch at his lower chest.,Impatient against high-quality wrist spin tossed up wide.,Exploit his lack of raw pace. Look for the straight drive or slog sweep.,Pivotal all-rounder. Tie him down with hard lengths to force a frustrated slog.,YS Chahal,AB de Villiers,140.8,161.4,8.88,11.16,82,1839,Mumbai Indians
Mohammad Nabi,Mohammad Nabi,Afghanistan,All-Rounder,Death Over Finisher,"Rajiv Gandhi International Stadium > Wankhede Stadium > Arun Jaitley Stadium > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Long On,1,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,JJ Bumrah,KL Rahul,140.8,140.2,7.4,10.0,15,419,Mumbai Indians
Vivrant Sharma,Vivrant Sharma,India,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,JP Behrendorff,Not Available,140.8,0.0,10.57,0.0,0,21,Sunrisers Hyderabad
M Shahrukh Khan,Shahrukh Khan,India,Batsman,Middle Order Anchor,"Narendra Modi Stadium, Ahmedabad > Wankhede Stadium, Mumbai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Avesh Khan,Not Available,140.7,154.9,9.33,7.0,1,18,Gujarat Titans
KA Pollard,Kieron Pollard,West Indies,All-Rounder,Death Over Finisher,Wankhede Stadium > M Chinnaswamy Stadium > Eden Gardens > Dubai International Cricket Stadium,Unknown,Not Available,0,Struggles to get underneath extreme wide yorkers. Slashes hard and misses.,Vulnerable to sharp googlies turning back into his body.,Relies on dipping off-cutters. Wait on the back foot to punch him down the ground.,Brute force finisher. Do not bowl at the stumps at the death. Commit entirely to the wide line.,R Ashwin,V Sehwag,140.5,160.0,8.25,9.98,69,1586,Mumbai Indians
MJ Lumb,Michael Lumb,England,Batsman,Top Order Aggressor,"Sawai Mansingh Stadium > Sardar Patel Stadium, Motera",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,JA Morkel,Not Available,140.4,0.0,0.0,0.0,0,0,Deccan Chargers
Shivang Kumar,Shivang Kumar,India,Bowler,Death Over Finisher,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh > Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Vulnerable to aggressive intent. Look to disrupt their length early in the over.,Not Available,D Ferreira,140.0,140.0,9.43,0.0,5,133,Unattached
V Viyaskanth,Vijayakanth Viyaskanth,Sri Lanka,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,Not Available,P Simran Singh,140.0,140.0,8.6,0.0,1,60,Sunrisers Hyderabad
Tilak Varma,Tilak Varma,India,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi > Dr DY Patil Sports Academy, Mumbai",Unknown,Short Mid-Wicket,1,Can be tucked up by high-pace back-of-a-length deliveries aimed at the ribcage.,Struggles slightly against mystery spin turning away from the left-hander.,Part-time off-spin. Respect the pitch if it's turning.,Solid middle-order bat. Cramp his room with hard lengths to prevent him from freeing his arms.,Mukesh Kumar,Not Available,140.0,181.0,7.3,12.0,0,23,Mumbai Indians
A Raghuvanshi,Angkrish Raghuvanshi,India,Batsman,Middle Order Anchor,"Eden Gardens, Kolkata > Wankhede Stadium, Mumbai > Arun Jaitley Stadium, Delhi > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Avesh Khan,Not Available,139.7,141.8,0.0,0.0,0,0,Kolkata Knight Riders
Sunny Singh,Sunny Singh,India,Batsman,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Not Available,Not Available,138.7,77.8,0.0,0.0,0,0,Kings XI Punjab
R Ravindra,Rachin Ravindra,New Zealand,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk, Chennai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,GJ Maxwell,Not Available,138.6,266.7,3.5,0.0,0,12,Chennai Super Kings
AJ Hosein,Akeal Hosein,West Indies,New Addition,Death Over Finisher,"Wankhede Stadium, Mumbai",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,Not Available,Not Available,138.5,138.5,8.28,12.0,7,108,Chennai Super Kings
Atharva Taide,Atharva Taide,India,Batsman,Top Order Aggressor,"Himachal Pradesh Cricket Association Stadium, Dharamsala > Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Unknown,Deep Square Leg,1,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.",Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,"Atharva Taide is a Top Order Aggressor. Strongest at Himachal Pradesh Cricket Association Stadium, Dharamsala. Beware of TA Boult who owns this matchup.",TA Boult,Not Available,138.3,0.0,24.0,24.0,0,1,Punjab Kings
JC Archer,Jofra Archer,England,All-Rounder,Death Over Finisher,"Sawai Mansingh Stadium > Dubai International Cricket Stadium > Sheikh Zayed Stadium > Barsapara Cricket Stadium, Guwahati",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,JJ Bumrah,AB de Villiers,138.0,146.2,7.64,9.46,74,1509,Rajasthan Royals
YK Pathan,Yusuf Pathan,India,All-Rounder,Middle Order Anchor,"Eden Gardens > Sawai Mansingh Stadium > Wankhede Stadium > Rajiv Gandhi International Stadium, Uppal",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,B Kumar,R Dravid,138.0,153.8,7.17,9.19,42,1184,Sunrisers Hyderabad
HM Amla,Hashim Amla,South Africa,Batsman,Top Order Aggressor,"Punjab Cricket Association IS Bindra Stadium, Mohali > Holkar Cricket Stadium > Saurashtra Cricket Association Stadium",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,CH Morris,Not Available,138.0,225.9,0.0,0.0,0,0,Kings XI Punjab
Ishan Kishan,Ishan Kishan,India,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai > Rajiv Gandhi International Stadium, Uppal, Hyderabad > Dubai International Cricket Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Wicketkeeper,7,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.",Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,"Ishan Kishan is a Middle Order Anchor. Strongest at Wankhede Stadium, Mumbai. Beware of Imran Tahir who owns this matchup.",Imran Tahir,Not Available,137.9,181.8,24.0,24.0,0,1,Sunrisers Hyderabad
PBB Rajapaksa,Bhanuka Rajapaksa,Sri Lanka,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai > Dr DY Patil Sports Academy, Mumbai > Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,AS Joseph,Not Available,137.8,75.0,0.0,0.0,0,0,Punjab Kings
RK Singh,Rinku Singh,India,Batsman,Middle Order Anchor,"Eden Gardens, Kolkata > Wankhede Stadium, Mumbai > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Dr DY Patil Sports Academy, Mumbai",Unknown,Not Available,0,"Incredible at the death, but can be starved of strike by firing wide yorkers past the tramline.",Keep the ball turning away from his hitting arc.,Not a regular bowler.,Elite finisher. Commit fully to the wide yorker. Do not miss on the pads under any circumstances.,Noor Ahmad,Not Available,137.7,175.9,0.0,0.0,0,0,Kolkata Knight Riders
MJ Guptill,Martin Guptill,New Zealand,Batsman,Top Order Aggressor,"Punjab Cricket Association IS Bindra Stadium, Mohali > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium > Wankhede Stadium",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,A Mishra,Not Available,137.6,0.0,0.0,0.0,0,0,Sunrisers Hyderabad
Yudhvir Singh,Yudhvir Singh,India,Bowler,Death Over Finisher,"Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Vulnerable to aggressive intent. Look to disrupt their length early in the over.,Not Available,Shubman Gill,137.5,166.7,10.47,12.0,8,145,Lucknow Super Giants
D Salunkhe,Dinesh Salunkhe,India,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,Not Available,Not Available,137.5,147.1,9.18,7.0,1,51,Rajasthan Royals
Sediqullah Atal,Sediqullah Atal,Afghanistan,New Addition,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Not Available,Not Available,137.5,0.0,0.0,0.0,0,0,Unattached
KR Mayers,Kyle Mayers,West Indies,Batsman,Top Order Aggressor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > MA Chidambaram Stadium, Chepauk, Chennai > Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,K Rabada,Not Available,137.3,0.0,7.7,0.0,0,46,Lucknow Super Giants
MR Marsh,Mitchell Marsh,Australia,All-Rounder,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Arun Jaitley Stadium, Delhi > Dr DY Patil Sports Academy, Mumbai > Rajiv Gandhi International Stadium, Uppal",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Arshdeep Singh,CH Gayle,137.0,149.7,8.04,10.28,37,593,Lucknow Super Giants
RN ten Doeschate,Ryan ten Doeschate,Netherlands,Batsman,Death Over Finisher,Eden Gardens > Wankhede Stadium > JSCA International Stadium Complex,Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,Harbhajan Singh,Not Available,137.0,149.3,6.8,10.29,2,83,Kolkata Knight Riders
JA Morkel,Albie Morkel,South Africa,All-Rounder,Death Over Finisher,"MA Chidambaram Stadium, Chepauk > M Chinnaswamy Stadium > Eden Gardens > Dr DY Patil Sports Academy",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Lower-order batter. Exploit their lack of footwork with aggressive body-line bowling.,DW Steyn,PC Valthaty,136.9,149.9,7.83,9.0,85,1807,Delhi Daredevils
SV Samson,Sanju Samson,India,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai > Sawai Mansingh Stadium, Jaipur > Sawai Mansingh Stadium > Feroz Shah Kotla",Unknown,Not Available,0,Bowl test-match lengths in the channel outside off. He often induces his own false shot due to high intent.,Toss the ball up wide outside off-stump to invite the risky lofted drive.,Not a regular bowler.,Incredibly gifted but impatient. Build dot-ball pressure early to force a mistake.,YS Chahal,Not Available,136.9,182.7,0.0,0.0,0,0,Chennai Super Kings
I Udana,Isuru Udana,Sri Lanka,Bowler,Death Over Finisher,Dubai International Cricket Stadium > Sharjah Cricket Stadium > Sheikh Zayed Stadium,Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Vulnerable to aggressive intent. Look to disrupt their length early in the over.,Not Available,Not Available,136.4,136.4,9.3,8.76,8,182,Royal Challengers Bangalore
CA Lynn,Chris Lynn,Australia,Batsman,Top Order Aggressor,Eden Gardens > Rajiv Gandhi International Stadium > M.Chinnaswamy Stadium > Wankhede Stadium,Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,Shakib Al Hasan,Not Available,136.4,100.0,0.0,0.0,0,0,Mumbai Indians
R Parag,Riyan Parag,India,All-Rounder,Middle Order Anchor,"Sawai Mansingh Stadium, Jaipur > Barsapara Cricket Stadium, Guwahati > Eden Gardens, Kolkata > Wankhede Stadium, Mumbai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,PJ Cummins,RR Pant,136.2,153.5,9.25,12.4,9,334,Rajasthan Royals
R Powell,Rovman Powell,West Indies,Batsman,Middle Order Anchor,"Wankhede Stadium, Mumbai > Eden Gardens, Kolkata > Brabourne Stadium, Mumbai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Ravi Bishnoi,Not Available,136.1,175.6,10.0,12.0,1,21,Kolkata Knight Riders
Shubman Gill,Shubman Gill,India,Batsman,Top Order Aggressor,"Narendra Modi Stadium, Ahmedabad > Eden Gardens > Sharjah Cricket Stadium > Dubai International Cricket Stadium",Unknown,Long On,3,Lured into false drives by late outswing. Bowl full on the 4th stump line.,"Bowl tight, flat lines on the stumps. He takes time to accelerate against spin.",Not a regular bowler.,Elegant timer. Squeeze his scoring zones on the off-side and force him to muscle the ball.,B Kumar,Not Available,136.1,146.5,0.0,0.0,0,0,Gujarat Titans
PR Veer,Prashant Veer,India,Batsman,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Suyash Sharma,Not Available,136.1,75.0,0.0,0.0,0,0,Unattached
DP Conway,Devon Conway,New Zealand,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk, Chennai > Maharashtra Cricket Association Stadium, Pune > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,Mohammed Shami,Not Available,136.0,145.5,0.0,0.0,0,0,Chennai Super Kings
N Wadhera,Nehal Wadhera,India,Batsman,Middle Order Anchor,"Sawai Mansingh Stadium, Jaipur > Narendra Modi Stadium, Ahmedabad > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Yash Thakur,Not Available,135.9,165.6,7.76,10.8,0,17,Punjab Kings
M Morkel,Morne Morkel,South Africa,Bowler,Death Over Finisher,Feroz Shah Kotla > Eden Gardens > Himachal Pradesh Cricket Association Stadium > Wankhede Stadium,Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Frontline strike bowler. See off their best spells and attack the weaker backups.,Not Available,MS Dhoni,135.5,139.8,7.38,8.84,77,1699,Kolkata Knight Riders
S Dube,Shivam Dube,India,All-Rounder,Middle Order Anchor,"MA Chidambaram Stadium, Chepauk, Chennai > Wankhede Stadium, Mumbai > Dubai International Cricket Stadium > Dr DY Patil Sports Academy, Mumbai",Unknown,Not Available,0,"Completely freezes against sharp, fast bouncers directed at his helmet. Attack the body.",Do NOT bowl spin to him in the middle overs.,Medium pacer. Exploit his lack of raw pace by stepping out of the crease.,Spin-destroyer. Bring your fastest bowler back into the attack immediately when he walks out.,JJ Bumrah,Not Available,135.5,154.2,10.07,10.6,6,149,Chennai Super Kings
MK Lomror,Mahipal Lomror,India,Batsman,Middle Order Anchor,"M Chinnaswamy Stadium, Bengaluru > Dubai International Cricket Stadium > Sheikh Zayed Stadium > Arun Jaitley Stadium, Delhi",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,YS Chahal,KS Williamson,135.5,150.3,8.11,0.0,1,94,Royal Challengers Bengaluru
DA Warner,David Warner,Australia,Batsman,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal > Feroz Shah Kotla > Rajiv Gandhi International Stadium > Dubai International Cricket Stadium",Unknown,Not Available,0,Use back-of-a-length deliveries angling across the body. Invite the false drive.,Deploy left-arm orthodox sliding across to restrict strike rotation and build dot pressure.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Classical opener. Squeeze their scoring zones on the off-side and force aerial risks.,UT Yadav,Not Available,135.4,173.0,6.0,0.0,0,2,Delhi Capitals
DL Chahar,Deepak Chahar,India,Bowler,Death Over Finisher,"MA Chidambaram Stadium, Chepauk, Chennai > Wankhede Stadium, Mumbai > Dubai International Cricket Stadium > MA Chidambaram Stadium",Unknown,Not Available,0,Bowl rapid back-of-a-length deliveries targeting the ribcage to cramp them for room.,Keep the ball turning away from their hitting arc.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Solid squad bowler. Exploit their lack of raw pace with calculated aggression.,Not Available,YBK Jaiswal,135.2,121.6,7.85,9.28,89,2051,Mumbai Indians
KL Rahul,KL Rahul,India,Batsman,Top Order Aggressor,"Dubai International Cricket Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Arun Jaitley Stadium, Delhi > Punjab Cricket Association IS Bindra Stadium",Unknown,Wicketkeeper,3,Over-cautious against extreme pace bouncers directed at the badge in the powerplay.,Gets bogged down by wrist spin in the middle overs. Bowl googlies outside off.,Not a regular bowler.,Exceptional anchor but can be tied down. Use aggressive pace early to stifle his strike rate.,DS Kulkarni,Not Available,135.2,169.2,0.0,0.0,0,0,Delhi Capitals
MM Ali,Moeen Ali,England,All-Rounder,Middle Order Anchor,"Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai > M.Chinnaswamy Stadium > Brabourne Stadium, Mumbai",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Rashid Khan,R Parag,134.9,167.1,7.1,7.58,41,869,Chennai Super Kings
